"Data last updated November, 01 2020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note: Nominal prices on November, 01 2020 Prices are not necessarily comparable between carbon pricing initiatives because of differences in the number of sectors covered and allocation methods applied, specific exemptions, and different compensation methods. Due to the dynamic approach to continuously improve data quality and fluctuating exchange rates, data of different years may not always be comparable and could be amended following new information from official government sources. In addition, data for a limited number of initiatives may be incomplete as they are in the process of being validated and will be updated following confirmation from official government sources. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Name of the initiative,Instrument Type,Jurisdiction Covered,Revenue_1990,Revenue_1991,Revenue_1992,Revenue_1993,Revenue_1994,Revenue_1995,Revenue_1996,Revenue_1997,Revenue_1998,Revenue_1999,Revenue_2000,Revenue_2001,Revenue_2002,Revenue_2003,Revenue_2004,Revenue_2005,Revenue_2006,Revenue_2007,Revenue_2008,Revenue_2009,Revenue_2010,Revenue_2011,Revenue_2012,Revenue_2013,Revenue_2014,Revenue_2015,Revenue_2016,Revenue_2017,Revenue_2018,Revenue_2019
Alberta TIER,ETS,Alberta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.01168452,69.84101875,65.80645161,81.939973,63.42643945,92.16091276,85.60805296,66.84110371,63.92274086,101.8787016,105.0999663,340.5935456,367.606535
Alberta carbon tax,Carbon tax,Alberta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,714.6177652,1012.970567,0
Argentina carbon tax,Carbon tax,Argentina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200.2276494,179.2632156
Australia ERF Safeguard Mechanism,ETS,Australia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Austria undecided,Undecided,Austria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BC GGIRCA,ETS,British Columbia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BC carbon tax,Carbon tax,British Columbia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145.2186981,524.9627792,717.883477,912.0701825,1062.01436,1085.063934,954.6463685,932.0150226,902.3327482,961.866211,1056.271122,1145.107884
Baja Calfornia carbon tax,Carbon tax,Baja California,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Beijing pilot ETS,ETS,Beijing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brazil undecided,Undecided,Brazil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
California CaT,ETS,California,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.76,476.7979802,437.1072159,2558.161288,901.0963089,2024.167788,3020,3064.749861
Canada federal OBPS,ETS,Canada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canada federal fuel charge,Carbon tax,Canada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1371.069743
Catalonia carbon tax,Carbon tax,Catalonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chile ETS,ETS,Chile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chile carbon tax,Carbon tax,Chile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144.5,165.5,165.5
China national ETS,ETS,China,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chongqing pilot ETS,ETS,Chongqing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Colombia ETS,ETS,Colombia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Colombia carbon tax,Carbon tax,Colombia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171.5304183,92.62770451,111.2445374
Cote dIvoire carbon tax,Carbon tax,Cote dIvoire,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Denmark carbon tax,Carbon tax,Denmark,0,0,227.1103896,484.2987805,611.0497238,561.1888112,580.6603774,514.893617,602.6200873,580.4627249,570.971564,573.7089202,701.8727361,804.8050036,850.2200344,828.4702801,929.6568056,1079.259073,912.857905,913.0825985,1102.429403,1068.289627,989.5106702,1098.509337,531.6422895,567.7371837,531.8252216,593.9983209,543.4313227,519.9791357
EU ETS,ETS,"EU, Norway, Iceland, Liechtenstein",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85.56648564,463.9658657,1879.385212,1295.430893,1632.31571,4983.429708,3407.876902,5639.4056,4214.61057,6849.572734,15948.21643,16011.23332
Estonia carbon tax,Carbon tax,Estonia,0,0,0,0,0,0,0,0,0,0,0,4.429381488,5.616706518,7.407646397,7.667710713,9.799378052,15.4397349,22.4788338,4.38071712,5.215617676,4.20482635,3.174716839,3.167114402,3.462117399,2.563992,2.8705752,2.684513533,3.113136682,2.821357988,2.746030366
Finland carbon tax,Carbon tax,Finland,160.8910891,144.1241685,111.6838488,179.4871795,0,0,0,0,0,0,0,0,0,0,601.3773875,539.6458819,614.1749563,706.4321167,644.5150303,544.6614846,689.6206348,936.3479396,1283.221355,1427.172036,1137.056975,1456.482528,1262.207801,1567.571562,1458.572417,1419.629896
France carbon tax,Carbon tax,France,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,322.65,2858,4062.585195,6742.029979,9262.953108,8967.5225
Fujian pilot ETS,ETS,Fujian,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.506166022,0,0,0
Germany ETS,ETS,Germany,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guangdong pilot ETS,ETS,Guangdong (except Shenzhen),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.26686503,93.00934336,5.677247695,1.560001358,2.507358182,0,0
Hubei pilot ETS,ETS,Hubei,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.511052512,0,0,0,0,17.27734749
Iceland carbon tax,Carbon tax,Iceland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.52488214,24.84177215,24.79546375,26.72520844,21.9094158,27.33040508,30.62771015,37.23731731,44.0411911,41.34312672
Indonesia ETS,ETS,Indonesia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ireland carbon tax,Carbon tax,Ireland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,313.9302,398.2380998,455.8200002,535.0519998,414.0675,474.428,465.0590947,551.7108019,488.7657208,481.1841341
Jalisco carbon tax,Carbon tax,Jalisco,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Japan ETS,ETS,Japan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Japan carbon tax,Carbon tax,Japan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,416.4447758,871.5018883,1417.25719,1558.526441,2340.919887,2486.725563,2361.360498,2438.185863
Kazakhstan ETS,ETS,Kazakhstan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Korea ETS,ETS,"Korea, Republic of",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92.28940711,179.2773872
Latvia carbon tax,Carbon tax,Latvia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.498166058,0.47520459,0.177887188,0.217696245,0.174086644,0.534727941,0.744538093,1.117098499,1.994635334,0,2.921295072,3.438528475,6.354335475,9.739983704,9.067884013,9.060132019
Liechtenstein carbon tax,Carbon tax,Liechtenstein,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.902875175,1.425449016,3.251327625,3.877257118,4.216295984,4.472879629,5.80338703,0,4.760263768,5.087237014,4.014271146,4.319453199
Luxembourg carbon tax,Carbon tax,Luxembourg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Manitoba ETS,ETS,Manitoba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Manitoba carbon tax,Carbon tax,Manitoba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Massachusetts ETS,ETS,Massachusetts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.92931089,8.19856686
Mexico carbon tax,Carbon tax,Mexico,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,639.5480338,477.5467584,440.4081625,624.4507951,306.0210628,210.4055051
Mexico pilot ETS,ETS,Mexico,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montenegro ETS,ETS,Montenegro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Netherlands carbon tax,Carbon tax,Netherlands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New Brunswick ETS,ETS,New Brunswick,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New Brunswick carbon tax,Carbon tax,New Brunswick,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New Zealand ETS,ETS,New Zealand,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.355007406,1.42354685,1.058486307,0.0000217,0.00024284,0.00041586,0.000541803,0.024744123,0.358479071,250.6870702
Newfoundland and Labrador PSS,ETS,Newfoundland and Labrador,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Newfoundland and Labrador carbon tax,Carbon tax,Newfoundland and Labrador,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.74259384
Northwest Territories carbon tax,Carbon tax,Northwest Territories,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.911222615
Norway carbon tax,Carbon tax,Norway,0,124.8055128,280.8275559,311.9072802,417.0332681,398.1636146,414.8644022,398.2531603,418.0623026,818.5368683,720.1350678,728.246661,902.4297028,1013.376363,1145.052915,1128.185717,1302.568011,1558.541661,1206.163008,1150.507101,1272.457976,1278.185991,1208.047666,1392.510365,1247.205259,1500.435962,1486.880632,1652.372845,1643.662071,1374.222843
Nova Scotia CaT,ETS,Nova Scotia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ontario ETS,ETS,Ontario,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oregon ETS,ETS,Oregon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pennsylvania ETS,ETS,Pennsylvania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Poland carbon tax,Carbon tax,Poland,2.065790156,1.42767977,1.124911967,0.856439848,0.771435022,0.717332273,0.808477265,0.813570804,0.649934799,0.612415773,0.59236776,0.581100288,0.80652401,0.874520647,1.075727597,1.043694413,1.270388008,1.6428095,1.124817059,1.349435849,1.425678623,1.413907874,1.388486392,1.523159204,1.22290005,1.211440352,1.141991723,1.326928351,1.177440001,1.117735137
Portugal carbon tax,Carbon tax,Portugal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108.604,133.091568,170.8945486,155.0567114,280.6832946
Prince Edward Island carbon tax,Carbon tax,Prince Edward Island,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.611626431
Quebec CaT,ETS,Quebec,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.8044994,651.1019886,336.0561766,477.6340039,642,968.6597938
RGGI,ETS,RGGI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145.0656732,349.3564351,283.0840713,174.6369885,167.64559,447.9698768,367.2873091,435.9770901,266.4660049,198.3762521,239.36,283.9890488
Rio de Janeiro ETS,ETS,Rio de Janeiro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saitama ETS,ETS,Saitama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sao Paolo ETS,ETS,Sao Paolo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saskatchewan OBPS,ETS,Saskatchewan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Senegal carbon tax,Carbon tax,Senegal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shanghai pilot ETS,ETS,Shanghai,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.258332453,1.889157783,0.495488538
Shenzhen pilot ETS,ETS,Shenzhen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.432387411,0,0,0,0,0
Singapore carbon tax,Carbon tax,Singapore,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Slovenia carbon tax,Carbon tax,Slovenia,0,0,0,0,0,0,15.61146177,13.683126,40.39365381,33.75795855,0,27.46226991,36.40861299,61.04559998,76.23779703,58.19191201,48.15769799,46.66680001,43.234944,43.52857597,46.792569,42.14131598,73.81716004,149.5663399,117.12195,84.53808735,79.05859408,91.68149324,83.08864651,80.87025726
South Africa carbon tax,Carbon tax,South Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spain carbon tax,Carbon tax,Spain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.3405,0,0,216.9649221,123.5835698,120.2960335
Sweden carbon tax,Carbon tax,Sweden,0,1408.962186,1205.533338,1362.281768,1522.38806,1713.432119,1796.631562,1557.900514,1574.829973,1474.546044,1168.999758,1637.434239,2350.221174,3154.039735,3740.976645,3260.134057,3536.120043,4200.083577,3090.898131,3611.361275,4323.289838,3841.110741,3894.803431,3725.274385,2704.366068,3046.352818,2555.999783,2861.787106,2572.307214,2314.347421
Switzerland ETS,ETS,Switzerland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.585454358,4.966925399,4.007316115,4.941381514,4.434652754,8.865624812
Switzerland carbon tax,Carbon tax,Switzerland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,191.970547,206.2149577,638.3439905,551.6782984,586.0651418,734.9111086,781.7017761,881.034303,1002.003056,1116.249113,1177.653513,1234.721394
TCI ETS,ETS,TCI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Taiwan ETS,ETS,Taiwan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tamaulipas carbon tax,Carbon tax,Tamaulipas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tianjin pilot ETS,ETS,Tianjin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tokyo CaT,ETS,Tokyo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Turkey ETS,ETS,Turkey,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UK carbon price floor,Carbon tax,United Kingdom,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1117.161374,1765.493001,2600.052,1168.883032,1241.223124,1091.042708,1098.106128
Ukraine ETS,ETS,Ukraine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ukraine carbon tax,Carbon tax,Ukraine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.701399208,8.149921565,6.492505814,2.923125091,0,3.244166975,3.708640301,4.019249567,47.69230769
United Kingdom undecided,Undecided,United Kingdom,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vietnam ETS,ETS,Vietnam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Virginia ETS,ETS,Virginia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Washington CAR,ETS,Washington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zacatecas carbon tax,Carbon tax,Zacatecas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
